"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"1","2017-09-03 18:41:05.103576","host","1.43.0","USB","36","","SET CONFIGURATION Request"
"2","2017-09-03 18:41:05.104119","1.43.0","host","USB","28","","SET CONFIGURATION Status"
"3","2017-09-03 18:41:05.410000","1.43.1","host","USB","28","0c","URB_INTERRUPT in"
"4","2017-09-03 18:41:05.526004","1.43.1","host","USB","28","04","URB_INTERRUPT in"
"5","2017-09-03 18:41:05.577047","host","1.44.0","USB","36","","SET CONFIGURATION Request"
"6","2017-09-03 18:41:05.577432","1.44.0","host","USB","28","","SET CONFIGURATION Status"
"7","2017-09-03 18:41:05.582011","1.43.1","host","USB","28","08","URB_INTERRUPT in"
"8","2017-09-03 18:41:05.630002","1.43.1","host","USB","28","08","URB_INTERRUPT in"
"9","2017-09-03 18:41:05.882001","1.44.1","host","USB","28","02","URB_INTERRUPT in"
"10","2017-09-03 18:41:05.887911","host","1.45.0","USB","36","","GET DESCRIPTOR Request DEVICE"
"11","2017-09-03 18:41:05.888497","1.45.0","host","USB","46","","GET DESCRIPTOR Response DEVICE"
"12","2017-09-03 18:41:05.888497","1.45.0","host","USB","28","","GET DESCRIPTOR Status"
"13","2017-09-03 18:41:05.888511","host","1.45.0","USB","36","","GET DESCRIPTOR Request CONFIGURATION"
"14","2017-09-03 18:41:05.888777","1.45.0","host","USB","37","","GET DESCRIPTOR Response CONFIGURATION"
"15","2017-09-03 18:41:05.888777","1.45.0","host","USB","28","","GET DESCRIPTOR Status"
"16","2017-09-03 18:41:05.888782","host","1.45.0","USB","36","","GET DESCRIPTOR Request CONFIGURATION"
"17","2017-09-03 18:41:05.889686","1.45.0","host","USB","112","","GET DESCRIPTOR Response CONFIGURATION"
"18","2017-09-03 18:41:05.889710","1.45.0","host","USB","28","","GET DESCRIPTOR Status"
"19","2017-09-03 18:41:05.892188","host","1.45.0","USB","36","","SET CONFIGURATION Request"
"20","2017-09-03 18:41:05.892739","1.45.0","host","USB","28","","SET CONFIGURATION Status"
"21","2017-09-03 18:41:05.893830","host","1.45.0","USB","36","","GET DESCRIPTOR Request STRING"
"22","2017-09-03 18:41:05.894074","1.45.0","host","USB","32","","GET DESCRIPTOR Response STRING"
"23","2017-09-03 18:41:05.894100","1.45.0","host","USB","28","","GET DESCRIPTOR Status"
"24","2017-09-03 18:41:05.894111","host","1.45.0","USB","36","","GET DESCRIPTOR Request STRING"
"25","2017-09-03 18:41:05.894511","1.45.0","host","USB","54","","GET DESCRIPTOR Response STRING"
"26","2017-09-03 18:41:05.894529","1.45.0","host","USB","28","","GET DESCRIPTOR Status"
"27","2017-09-03 18:41:05.898144","host","1.45.0","USB","36","","GET DESCRIPTOR Request STRING"
"28","2017-09-03 18:41:05.898357","1.45.0","host","USB","32","","GET DESCRIPTOR Response STRING"
"29","2017-09-03 18:41:05.898382","1.45.0","host","USB","28","","GET DESCRIPTOR Status"
"30","2017-09-03 18:41:05.898393","host","1.45.0","USB","36","","GET DESCRIPTOR Request STRING"
"31","2017-09-03 18:41:05.898803","1.45.0","host","USB","54","","GET DESCRIPTOR Response STRING"
"32","2017-09-03 18:41:05.898830","1.45.0","host","USB","28","","GET DESCRIPTOR Status"
"33","2017-09-03 18:41:05.900826","host","1.45.0","USB","36","","GET DESCRIPTOR Request STRING"
"34","2017-09-03 18:41:05.901077","1.45.0","host","USB","32","","GET DESCRIPTOR Response STRING"
"35","2017-09-03 18:41:05.901105","1.45.0","host","USB","28","","GET DESCRIPTOR Status"
