Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Fri Jan 26 22:16:35 2018
Invocation: foremost capcapcap.pcap 
Output directory: /Users/miyatadaichi/ctf/cpawCTF2/network/IllegalPackets/output
Configuration file: /usr/local/etc/foremost.conf
------------------------------------------------------------------
File: capcapcap.pcap
Start: Fri Jan 26 22:16:35 2018
Length: Unknown
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	00000159.jpg 	       3 KB 	      81705 	 
1:	00000218.jpg 	      631 B 	     112023 	 
2:	00000225.jpg 	      40 KB 	     115296 	 
3:	00000315.jpg 	       8 KB 	     161670 	 
4:	00000650.jpg 	      41 KB 	     333011 	 
5:	00000905.jpg 	      26 KB 	     463421 	 
6:	00001035.jpg 	      18 KB 	     530325 	 
7:	00001074.jpg 	       8 KB 	     550330 	 
8:	00001093.jpg 	       3 KB 	     559876 	 
9:	00001100.jpg 	       3 KB 	     563684 	 
10:	00001118.jpg 	       4 KB 	     572808 	 
11:	00001137.jpg 	       4 KB 	     582639 	 
12:	00001147.jpg 	       3 KB 	     587558 	 
13:	00001154.jpg 	       4 KB 	     591222 	 
14:	00001165.jpg 	       4 KB 	     596688 	 
15:	00001176.jpg 	       4 KB 	     602165 	 
16:	00001224.jpg 	       3 KB 	     627192 	 
17:	00001244.jpg 	       3 KB 	     637338 	 
18:	00001252.jpg 	       4 KB 	     641414 	 
19:	00001262.jpg 	      32 KB 	     646169 	 
20:	00002313.jpg 	      22 KB 	    1184467 	 
21:	00002361.jpg 	       4 KB 	    1209303 	 
22:	00002372.jpg 	       8 KB 	    1214722 	 
23:	00002402.jpg 	       2 KB 	    1230258 	 
24:	00002483.jpg 	       1 KB 	    1271561 	 
25:	00002490.jpg 	       2 KB 	    1274975 	 
26:	00002497.jpg 	       2 KB 	    1278476 	 
27:	00002504.jpg 	       2 KB 	    1282173 	 
28:	00002511.jpg 	       2 KB 	    1285745 	 
29:	00002518.jpg 	       2 KB 	    1289695 	 
30:	00002525.jpg 	       2 KB 	    1293018 	 
31:	00002534.jpg 	       2 KB 	    1297905 	 
32:	00002541.jpg 	       1 KB 	    1301165 	 
33:	00002564.jpg 	       1 KB 	    1312789 	 
34:	00002570.jpg 	       7 KB 	    1315951 	 
35:	00002586.jpg 	       6 KB 	    1324308 	 
36:	00002601.jpg 	       7 KB 	    1331904 	 
37:	00002618.jpg 	       5 KB 	    1340516 	 
38:	00002631.jpg 	       6 KB 	    1347179 	 
39:	00002645.jpg 	       6 KB 	    1354617 	 
40:	00002660.jpg 	       5 KB 	    1362083 	 
41:	00002674.jpg 	       4 KB 	    1369373 	 
42:	00002685.jpg 	       5 KB 	    1375167 	 
43:	00002699.jpg 	       5 KB 	    1382140 	 
44:	00002713.jpg 	       5 KB 	    1389427 	 
45:	00002727.jpg 	       6 KB 	    1396253 	 
46:	00002741.jpg 	       6 KB 	    1403563 	 
47:	00002756.jpg 	       5 KB 	    1411312 	 
48:	00002769.jpg 	       5 KB 	    1418012 	 
49:	00002782.jpg 	       4 KB 	    1424849 	 
50:	00002808.jpg 	      12 KB 	    1438168 	 
51:	00002877.jpg 	       3 KB 	    1473244 	 
52:	00002884.jpg 	       5 KB 	    1476906 	 
53:	00002916.jpg 	      18 KB 	    1493325 	 
54:	00002985.jpg 	      11 KB 	    1528396 	 
55:	00003101.jpg 	      10 KB 	    1587728 	 
56:	00003122.jpg 	      14 KB 	    1598656 	 
57:	00003265.jpg 	      40 KB 	    1671816 	 
58:	00004356.jpg 	      45 KB 	    2230460 	 
59:	00004720.jpg 	       6 KB 	    2417051 	 
60:	00005142.jpg 	      10 KB 	    2632820 	 
61:	00005223.jpg 	      25 KB 	    2674202 	 
62:	00005347.jpg 	      13 KB 	    2737927 	 
63:	00005438.jpg 	       7 KB 	    2784673 	 
64:	00005457.jpg 	       4 KB 	    2794226 	 
65:	00006921.jpg 	       6 KB 	    3544020 	 
66:	00007468.jpg 	      72 KB 	    3823975 	 
67:	00008122.jpg 	       9 KB 	    4158555 	 
68:	00008260.jpg 	      10 KB 	    4229151 	 
69:	00008385.jpg 	      15 KB 	    4293319 	 
70:	00009231.jpg 	       3 KB 	    4726745 	 
71:	00009244.jpg 	       3 KB 	    4733279 	 
72:	00009257.jpg 	       3 KB 	    4739631 	 
73:	00009907.jpg 	       8 KB 	    5072876 	 
74:	00010168.jpg 	      26 KB 	    5206099 	 
75:	00010288.jpg 	      50 KB 	    5267684 	 
76:	00010430.jpg 	       4 KB 	    5340485 	 
77:	00010447.jpg 	       4 KB 	    5349256 	 
78:	00010467.jpg 	      16 KB 	    5359533 	 
79:	00010502.jpg 	       2 KB 	    5377090 	 
80:	00010526.jpg 	       2 KB 	    5389736 	 
81:	00010533.jpg 	       2 KB 	    5393225 	 
82:	00010539.jpg 	       3 KB 	    5396254 	 
83:	00010550.jpg 	       3 KB 	    5401806 	 
84:	00010561.jpg 	       2 KB 	    5407448 	 
85:	00010567.jpg 	       2 KB 	    5410708 	 
86:	00010589.jpg 	       2 KB 	    5421738 	 
87:	00010594.jpg 	       2 KB 	    5424423 	 
88:	00010600.jpg 	       2 KB 	    5427291 	 
89:	00010607.jpg 	       2 KB 	    5430858 	 
90:	00010614.jpg 	       2 KB 	    5434465 	 
91:	00010621.jpg 	       2 KB 	    5438028 	 
92:	00010639.jpg 	       3 KB 	    5447556 	 
93:	00010647.jpg 	       2 KB 	    5451481 	 
94:	00010654.jpg 	       3 KB 	    5454872 	 
95:	00010662.jpg 	       2 KB 	    5459452 	 
96:	00010669.jpg 	       2 KB 	    5462579 	 
97:	00010674.jpg 	       2 KB 	    5465384 	 
98:	00010694.jpg 	       3 KB 	    5475774 	 
99:	00010703.jpg 	       3 KB 	    5479986 	 
100:	00010710.jpg 	       3 KB 	    5483751 	 
101:	00010718.jpg 	       3 KB 	    5487674 	 
102:	00010726.jpg 	       3 KB 	    5491825 	 
103:	00010734.jpg 	       3 KB 	    5496177 	 
104:	00010765.jpg 	       3 KB 	    5511687 	 
105:	00010773.jpg 	       3 KB 	    5515886 	 
106:	00010780.jpg 	      20 KB 	    5519567 	 
107:	00011378.jpg 	       2 KB 	    5825680 	 
108:	00011388.jpg 	       2 KB 	    5830913 	 
109:	00011395.jpg 	       4 KB 	    5834504 	 
110:	00011580.jpg 	      84 KB 	    5929056 	 
111:	00011929.jpg 	       2 KB 	    6107775 	 
112:	00011937.jpg 	       2 KB 	    6111825 	 
113:	00011947.jpg 	       2 KB 	    6116902 	 
114:	00011956.jpg 	       2 KB 	    6121599 	 
115:	00011966.jpg 	       1 KB 	    6126781 	 
116:	00011973.jpg 	       2 KB 	    6130248 	 
117:	00011984.jpg 	       1 KB 	    6136271 	 
118:	00011991.jpg 	       2 KB 	    6139708 	 
119:	00012006.jpg 	       1 KB 	    6147431 	 
120:	00012012.jpg 	       2 KB 	    6150575 	 
121:	00012020.jpg 	       1 KB 	    6154350 	 
122:	00012026.jpg 	       4 KB 	    6157665 	 
123:	00012040.jpg 	       3 KB 	    6164542 	 
124:	00012050.jpg 	       5 KB 	    6169902 	 
125:	00012068.jpg 	       5 KB 	    6179326 	 
126:	00012087.jpg 	       5 KB 	    6188653 	 
